Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Jaemyn Brakefield,F,18,17,589,21,0.653,0.397,0.404,218,6.3,19,12.5,12.8,1.5,0.8,16.3,18.9,1.9,0,1.9,0.129,,jaemyn-brakefield-1
2,Matthew Murrell,G,16,15,566,14.6,0.486,0.546,0.327,222,2.5,10.9,6.6,16.1,1.4,0.4,12.2,24.7,1,-0.2,0.8,0.059,,matthew-murrell-1
3,Myles Burns,F,18,15,495,18.7,0.501,0.254,0.365,160,10.1,17.1,13.5,12.4,4.4,0.9,14.5,18.1,0.9,0.3,1.2,0.099,,myles-burns-1
4,Amaree Abram,G,18,10,354,10.6,0.443,0.443,0.092,119,1.8,11,6.3,20.1,2.2,0.9,17,24.1,0,0,0,0.003,,amaree-abram-1
5,Jayveous McKinnis,F,18,5,325,16.8,0.549,0,0.449,89,10.6,18.2,14.3,3.2,0.9,5.8,10.7,14.9,0.6,0.1,0.7,0.085,,jayveous-mckinnis-1
6,Robert Allen,F,18,10,294,17.4,0.51,0.118,0.353,97,11.8,16.9,14.3,21.5,2,1.5,15.9,16.6,0.7,0,0.7,0.096,,robert-allen-4
7,TJ Caldwell,G,16,7,291,4.4,0.381,0.472,0.191,74,1.3,12,6.5,12.9,0.4,0.8,16.4,20.6,-0.2,-0.1,-0.3,-0.048,,tj-caldwell-1
8,James White,G,14,4,205,10.9,0.482,0.317,0.079,60,2.5,11.8,7,15.9,0.9,0.5,14.4,19.3,0.2,-0.1,0.1,0.018,,james-white-7
9,Tye Fagan,G,17,2,191,11.2,0.48,0.527,0.327,59,1.3,12.7,6.9,13.7,0.6,1.2,14.8,20.2,0.2,-0.1,0.1,0.029,,tye-fagan-1
10,Theo Akwuba,C,16,4,178,13.4,0.46,0,0.382,38,10.1,18.1,14,1.1,1.3,10.6,11.1,13.1,0.2,0.1,0.3,0.06,,theo-akwuba-1
11,Daeshun Ruffin,G,6,1,108,15,0.438,0.509,0.298,58,0,6.2,3,36.6,2.2,1,12.1,35.5,0.2,0,0.1,0.055,,daeshun-ruffin-1
12,Malique Ewin,F,3,0,27,4.1,0.506,0,0.667,4,4.7,24.9,14.6,0,0,0,33.6,11.4,0,0,0,-0.025,,malique-ewin-1
13,Josh Mballa,F,4,0,20,-4.9,0.25,0,0,3,12.8,0,6.6,0,0,5.6,33.3,15.5,-0.1,0,-0.1,-0.133,,josh-mballa-1
